500 0.000021 0.000148 729.000000 3.347826
1000 0.000030 0.000176 728.791667 1.083333
1500 0.000038 0.000259 748.166667 0.388889
2000 0.000046 0.000381 738.530612 0.020408
2500 0.000068 0.000478 727.032000 -0.200000
3000 0.000069 0.000477 722.382550 -0.328859
